,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
10,frozenset({'LOGIC IC'}),frozenset({'DISCRETE'}),0.12154090635103293,0.2579045427146693,0.026987780152337115,0.22204688908926962,0.8609654050759761,-0.004358171721252479,0.9539076929926765,-0.15528389202893184
11,frozenset({'DISCRETE'}),frozenset({'LOGIC IC'}),0.2579045427146693,0.12154090635103293,0.026987780152337115,0.10464251566981835,0.8609654050759761,-0.004358171721252479,0.9811266550210878,-0.1787184766974704
12,frozenset({'MEMORY_EMBEDED'}),frozenset({'DISCRETE'}),0.06671598443750343,0.2579045427146693,0.0055619485999232835,0.08336755646817248,0.3232496628041389,-0.01164440685819003,0.809588906133414,-0.6916667669950749
13,frozenset({'DISCRETE'}),frozenset({'MEMORY_EMBEDED'}),0.2579045427146693,0.06671598443750343,0.0055619485999232835,0.02156591947306916,0.32324966280413886,-0.01164440685819003,0.9538547707372184,-0.7383006590824022
14,frozenset({'OPTICAL AND SENSOR'}),frozenset({'DISCRETE'}),0.03986519809304619,0.2579045427146693,0.0055619485999232835,0.13951890034364262,0.540971085173937,-0.0047194670844935005,0.8624192414937348,-0.46914649025599686
15,frozenset({'DISCRETE'}),frozenset({'OPTICAL AND SENSOR'}),0.2579045427146693,0.03986519809304619,0.0055619485999232835,0.02156591947306916,0.5409710851739369,-0.0047194670844935005,0.9812973822312873,-0.5334561270542505
16,frozenset({'OTHERS'}),frozenset({'DISCRETE'}),0.11340347416296784,0.2579045427146693,0.006657899062962354,0.058709833293065956,0.2276417184245534,-0.02258937208329268,0.7883811852422956,-0.7928253549040001
17,frozenset({'DISCRETE'}),frozenset({'OTHERS'}),0.2579045427146693,0.11340347416296784,0.006657899062962354,0.025815361733772444,0.2276417184245534,-0.02258937208329268,0.9100908503493984,-0.8205315522178578
18,frozenset({'LOGIC IC'}),frozenset({'LINEAR IC'}),0.12154090635103293,0.2603978300180832,0.04345443585949915,0.35752930568079355,1.3730118475102695,0.011805447587259113,1.1511842898385205,0.30926216961572645
19,frozenset({'LINEAR IC'}),frozenset({'LOGIC IC'}),0.2603978300180832,0.12154090635103293,0.04345443585949915,0.16687710437710437,1.3730118475102695,0.011805447587259113,1.054417179343241,0.36732472705858416
20,frozenset({'MEMORY_EMBEDED'}),frozenset({'LINEAR IC'}),0.06671598443750343,0.2603978300180832,0.005972930023562935,0.0895277207392197,0.3438113164499201,-0.011399767551483166,0.8123280486720647,-0.6715935008033554
21,frozenset({'LINEAR IC'}),frozenset({'MEMORY_EMBEDED'}),0.2603978300180832,0.06671598443750343,0.005972930023562935,0.022937710437710437,0.34381131644992013,-0.011399767551483166,0.9551939784520749,-0.7207124241968627
22,frozenset({'OTHERS'}),frozenset({'LINEAR IC'}),0.11340347416296784,0.2603978300180832,0.005233163461011562,0.04614641217685431,0.17721504120694742,-0.02429685512753703,0.7753833286613865,-0.8396594275066221
23,frozenset({'LINEAR IC'}),frozenset({'OTHERS'}),0.2603978300180832,0.11340347416296784,0.005233163461011562,0.020096801346801346,0.17721504120694745,-0.02429685512753703,0.9047797038070604,-0.8625904114600924
24,"frozenset({'LOGIC IC', 'LINEAR IC'})",frozenset({'DISCRETE'}),0.04345443585949915,0.2579045427146693,0.014713134966299524,0.3385876418663304,1.3128409383658055,0.003506038557031469,1.1219860774590413,0.24911840059262608
25,"frozenset({'LOGIC IC', 'DISCRETE'})",frozenset({'LINEAR IC'}),0.026987780152337115,0.2603978300180832,0.014713134966299524,0.5451776649746193,2.0936336717428086,0.007685575577625845,1.6261342353397055,0.5368499095539332
26,"frozenset({'LINEAR IC', 'DISCRETE'})",frozenset({'LOGIC IC'}),0.0349060222477944,0.12154090635103293,0.014713134966299524,0.42150706436420726,3.4680263379542016,0.010470625385193274,1.518530373553303,0.7373909400692181
27,frozenset({'LOGIC IC'}),"frozenset({'LINEAR IC', 'DISCRETE'})",0.12154090635103293,0.0349060222477944,0.014713134966299524,0.12105500450856628,3.468026337954201,0.010470625385193274,1.0980140767655255,0.8101134824090244
28,frozenset({'LINEAR IC'}),"frozenset({'LOGIC IC', 'DISCRETE'})",0.2603978300180832,0.026987780152337115,0.014713134966299524,0.05650252525252525,2.0936336717428086,0.007685575577625845,1.0312822724916013,0.7062736474027127
29,frozenset({'DISCRETE'}),"frozenset({'LOGIC IC', 'LINEAR IC'})",0.2579045427146693,0.04345443585949915,0.014713134966299524,0.05704876234994158,1.3128409383658055,0.003506038557031469,1.0144167863062792,0.3211084216905949
